prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.032,Simple,MLP,0.625,-,<0.80,-,-,-,-,-
0.032,CrossFit,MLP,0.625,-,<0.80,-,-,-,-,-
0.032,Simple,XGB,0.625,-,<0.80,-,-,-,-,-
0.032,CrossFit,XGB,0.625,-,<0.80,-,-,-,-,-
0.033,Baseline,-,0.6,-,0.6,0.0,24,174,16,5855
0.033,Simple,LR,0.6,-,<0.80,-,-,-,-,-
0.033,CrossFit,LR,0.6,-,<0.80,-,-,-,-,-
0.033,Simple,MLP,0.6,-,<0.80,-,-,-,-,-
0.033,CrossFit,MLP,0.6,-,<0.80,-,-,-,-,-
0.033,Simple,XGB,0.6,-,<0.80,-,-,-,-,-
0.033,CrossFit,XGB,0.6,-,<0.80,-,-,-,-,-
0.034,Baseline,-,0.575,-,0.575,0.0,23,166,17,5863
0.034,Simple,LR,0.575,-,<0.80,-,-,-,-,-
0.034,CrossFit,LR,0.575,-,<0.80,-,-,-,-,-
0.034,Simple,MLP,0.575,-,<0.80,-,-,-,-,-
0.034,CrossFit,MLP,0.575,-,<0.80,-,-,-,-,-
0.034,Simple,XGB,0.575,-,<0.80,-,-,-,-,-
0.034,CrossFit,XGB,0.575,-,<0.80,-,-,-,-,-
0.035,Baseline,-,0.575,-,0.575,0.0,23,158,17,5871
0.035,Simple,LR,0.575,-,<0.80,-,-,-,-,-
0.035,CrossFit,LR,0.575,-,<0.80,-,-,-,-,-
0.035,Simple,MLP,0.575,-,<0.80,-,-,-,-,-
0.035,CrossFit,MLP,0.575,-,<0.80,-,-,-,-,-
0.035,Simple,XGB,0.575,-,<0.80,-,-,-,-,-
0.035,CrossFit,XGB,0.575,-,<0.80,-,-,-,-,-
